,Receipt No.,Details,Paid In,Withdrawn,Balance,Date,Time
1,SLN7KQ3LF7,M-Shwari Withdraw,250.0,,286.0,2024-12-23,18:43:16
6,SLN2J0JB3A,M-Shwari Withdraw,50.0,,50.0,2024-12-23,12:29:15
7,SLN7IUKEOV,"M-Shwari Lock Withdraw to
Savings",0.0,,0.0,2024-12-23,11:49:55
9,SLM1GCIMI5,M-Shwari Withdraw,200.0,,200.0,2024-12-22,18:28:41
11,SLM4EJNNW8,M-Shwari Withdraw,20.0,,420.0,2024-12-22,11:03:08
14,SLM0EE51ME,M-Shwari Withdraw,30.0,,30.0,2024-12-22,10:18:59
15,SLL7D9DPFH,"M-Shwari Lock Withdraw to
Savings",0.0,,22.0,2024-12-21,21:40:28
16,SLL4CBVOUG,"M-Shwari Lock Withdraw to
Savings",0.0,,112.0,2024-12-21,18:48:26
18,SLL8BBNCME,M-Shwari Withdraw,500.0,,502.0,2024-12-21,15:19:52
20,SLL4A2M9YM,M-Shwari Withdraw,100.0,,100.0,2024-12-21,10:16:29
27,SLK54S5ZOJ,"M-Shwari Lock Withdraw to
Savings",0.0,,0.0,2024-12-20,00:21:08
28,SLJ74K3ILB,M-Shwari Withdraw,20.0,,61.0,2024-12-19,22:06:20
31,SLJ2486QLW,M-Shwari Withdraw,100.0,,101.0,2024-12-19,20:42:46
32,SLJ445GGT4,"M-Shwari Lock Deposit from
Savings",0.0,,1.0,2024-12-19,20:27:43
33,SLJ13VKXGN,M-Shwari Withdraw,30.0,,50.0,2024-12-19,19:38:41
34,SLJ53T9HGV,M-Shwari Withdraw,50.0,,50.0,2024-12-19,19:28:08
35,SLJ23P01HQ,M-Shwari Withdraw,30.0,,38.0,2024-12-19,19:09:18
38,SLI7Y6IAT5,"M-Shwari Lock Withdraw to
Savings",0.0,,160.0,2024-12-18,18:57:06
40,SLH2UYM7TU,M-Shwari Withdraw,20.0,,20.0,2024-12-17,23:10:52
45,SLH8RRW64M,M-Shwari Withdraw,300.0,,554.0,2024-12-17,11:20:27
47,SLH3RERZD7,M-Shwari Withdraw,50.0,,61.0,2024-12-17,09:49:05
48,SLG4QKLGY2,"M-Shwari Lock Withdraw to
Savings",0.0,,191.0,2024-12-16,23:11:49
61,SLG4NX4UV8,M-Shwari Withdraw,20.0,,21.0,2024-12-16,13:17:35
